pdbid,pKd,vina,vinardo,hac,buried_sasa_C,buried_sasa_N,buried_sasa_O,buried_sasa_S,buried_sasa_X,buried_sasa_total,buried_unsatisfied_acceptors,buried_unsatisfied_donors,clogp,contact_C_0_2,contact_C_2_4,contact_C_4_6,contact_C_6_8,contact_N_0_2,contact_N_2_4,contact_N_4_6,contact_N_6_8,contact_O_0_2,contact_O_2_4,contact_O_4_6,contact_O_6_8,contact_S_0_2,contact_S_2_4,contact_S_4_6,contact_S_6_8,contact_X_0_2,contact_X_2_4,contact_X_4_6,contact_X_6_8,fraction_csp3,hba,hbd,hbond_count,mw,n_acceptors,n_donors,polar_satisfaction_fraction,ring_count,rotatable_bonds,tpsa,vina_gauss1,vina_gauss2,vina_hbond,vina_hydrophobic,vina_repulsion
4crc,8.72,-9.69,-7.262,39,390.7892750492713,135.56888358377884,39.56668809303488,0.0,94.62566909621282,660.5505158222979,5,3,2.8752000000000004,0,107,700,1391,0,38,229,475,2,17,42,84,0,0,0,0,0,27,115,210,0.07692307692307693,8,3,3,540.9750000000001,8,3,0.2727272727272727,5,9,156.26,193.5675459129668,2490.7516383014245,2.702837279048632,179.38555854280102,7.475478254195845
4ty7,9.52,-9.618,-7.258,35,385.60268237879967,118.39553281520166,26.03560127480967,0.0,69.42339616727133,599.4572126360824,1,3,4.353700000000001,0,80,661,1345,0,33,162,327,0,13,23,57,0,0,0,0,2,45,186,337,0.34615384615384615,5,5,5,492.02700000000016,4,5,0.5555555555555556,5,7,138.5,164.23568400520824,2374.441585939009,4.014702582741464,150.99190705406215,6.127863950100865
5aba,2.98,-5.187,-3.367,23,194.37361312355932,0.0,12.066062675158221,0.0,173.37344231879214,379.8131181175097,4,2,3.2292000000000023,0,36,322,608,0,3,25,74,0,4,30,71,0,0,0,0,0,18,102,176,0.6470588235294118,4,2,0,403.74800000000005,4,2,0.0,3,3,46.94,87.60877450927866,1077.057315047594,0.0,109.84848589334746,3.684794784392116
5a7b,3.57,-6.855,-5.514,31,458.4575734478788,0.47480719295208607,26.244944164068915,0.0,5.61290019550601,490.79022500040577,4,1,4.110200000000003,0,67,594,976,0,3,27,73,0,6,64,94,0,0,0,0,0,5,30,63,0.4074074074074074,4,1,0,416.5650000000002,4,1,0.0,3,7,35.940000000000005,137.2593506003082,1440.7025436423278,0.0,192.582844579483,4.324824906512707
4agn,3.97,-5.619,-4.548,24,293.18741735267974,0.46744026199703326,45.13283409214735,0.0,122.20319033574191,460.9908820425661,4,1,2.646800000000001,0,46,418,700,0,1,26,76,0,9,64,86,0,0,0,0,0,17,105,148,0.5789473684210527,4,2,1,442.34100000000007,4,2,0.16666666666666666,2,5,46.94,114.69304032693444,1223.2792619598802,0.7010974143689966,140.12211196461348,4.046954341508662
4agp,4.69,-6.358,-5.116,30,352.38182780921375,1.1579567732048068,21.3679443600474,0.0,111.32028345385206,486.22801239631804,4,1,4.733500000000005,0,53,512,872,0,2,23,79,0,6,65,90,0,0,0,0,0,11,73,118,0.44,4,1,0,518.4390000000002,4,1,0.0,3,7,35.940000000000005,130.31642700704066,1374.5158233740228,0.0,176.79386787684345,4.31884380665014
4agq,5.01,-6.588,-5.345,30,351.9413663223528,9.055998585328133,11.572365487155716,0.0,120.87866148207247,493.448391876909,3,1,4.766600000000005,0,58,511,879,0,4,65,110,0,3,29,59,0,0,0,0,0,16,107,154,0.44,4,2,1,517.455,3,2,0.2,3,7,38.74,133.75393675951554,1437.9724762216672,0.2018857905075303,177.49465342341543,4.141115649143945
3bgz,6.26,-10.277,-8.352,24,394.2056308301178,5.536756281413691,69.81717408533609,0.0,8.195510982021148,477.75507217888867,0,2,5.200100000000003,0,44,410,1243,0,2,20,67,1,16,58,117,0,0,0,0,0,11,57,131,0.0,1,2,2,313.35600000000005,2,2,0.5,4,3,53.089999999999996,94.51381994006216,1620.0772485268403,1.4021214664417359,160.32567874116444,4.301346810518305
3jya,6.89,-7.491,-4.572,16,166.02896904037726,14.64438651010767,38.89862081196613,32.943500381767194,139.30185977885927,391.81733652307753,2,1,3.444600000000001,0,21,195,724,0,11,44,130,0,7,23,66,0,1,23,77,0,16,88,156,0.0,3,1,0,271.12800000000004,2,1,0.0,3,0,45.75,73.54022569487708,1169.7824554883412,0.0,106.50589360714567,2.712612224099966
2c3i,7.6,-8.543,-6.317,23,401.34807239872384,28.024770660083462,36.22647834384572,0.0,7.070408129270156,472.66972953192317,2,1,3.4208000000000016,0,43,425,1081,0,13,87,253,0,3,20,68,0,0,0,0,0,5,16,73,0.2777777777777778,4,1,1,306.3690000000001,3,1,0.25,4,5,59.29,103.46683807400478,1537.6407866452064,0.47930879404577825,160.91719366750885,4.317266110801577
3mss,4.66,-12.312,-9.134,37,705.8140212673716,47.94332245265444,25.78699835739808,0.0,12.635507605276812,792.1798496827009,4,0,4.590320000000003,0,87,755,1818,1,25,152,460,1,8,25,54,0,0,0,0,0,12,46,131,0.2413793103448276,7,2,4,493.61500000000035,6,2,0.5,5,7,86.28,195.33360597738445,2652.635799991642,3.066241511543973,250.94244766851415,8.456769662554107
3k5v,6.3,-12.044,-8.868,37,699.5995958343271,47.865177147853444,25.258549138648046,0.0,12.262703188717682,784.9860253095461,4,0,4.590320000000003,0,95,757,1813,1,29,156,439,1,8,26,52,0,0,0,0,0,11,46,137,0.2413793103448276,7,2,4,493.61500000000035,6,2,0.5,5,7,86.28,202.00845541335843,2639.6112913555557,3.2666907494114743,256.4623007713621,9.585425919292744
3pyy,6.86,-12.314,-9.404,37,683.9189724672954,49.38096880560088,25.393808744332805,0.0,12.626047496924016,771.3197975141533,4,0,4.590320000000003,0,88,740,1773,1,22,155,450,1,8,25,49,0,0,0,0,0,13,43,130,0.2413793103448276,7,2,4,493.61500000000035,6,2,0.5,5,7,86.28,192.41629537608645,2594.5718934491465,2.980932035781616,248.86301982847897,7.888558996052756
2v7a,8.3,-9.15,-6.393,35,466.4952614336615,55.705314986295726,51.61355715330374,0.0,16.490840204745826,590.3049737780067,2,0,2.643700000000001,0,54,535,1322,1,18,130,294,0,12,62,179,0,0,0,0,1,16,73,90,0.34615384615384615,6,2,5,474.5650000000002,5,2,0.7142857142857143,5,6,93.8,122.67386073682631,2065.884227359722,2.2392939918222967,149.83255501852065,4.6026717591702955
3wtj,6.53,-6.655,-4.533,16,254.96599918885252,80.61040617609886,0.0,40.68703744864263,86.92245206870106,463.18589488229503,3,0,2.1208799999999997,0,47,333,679,1,23,139,268,0,0,0,0,0,4,39,80,0,8,46,56,0.3,4,0,1,252.72999999999996,4,0,0.25,2,2,52.28,106.18273174560181,1241.5603943617816,1.0,122.59502100051418,6.0906627002472185
3zdg,7.1,-5.023,-3.233,13,380.1886743809628,0.6376866855644919,32.14177382726494,0.0,0.0,412.9681348937923,3,0,1.0248,0,52,299,654,0,5,79,134,0,10,67,147,0,0,0,0,0,0,0,0,0.8888888888888888,3,0,0,188.271,3,0,0.0,0,4,32.78,88.13334492881289,1045.5591833007168,0.0,118.59278838711394,3.6337862280324065
3u8k,8.66,-4.852,-2.603,16,298.2850599169193,41.97362460450017,9.371392245788405,0.0,nan,nan,2,0,1.2799999999999998,0,40,294,669,0,14,110,196,0,4,26,69,0,0,0,0,1,38,147,390,0.5833333333333334,4,1,2,221.304,3,1,0.5,2,3,37.39,111.90967822575516,1460.0549459937542,2.26391992437285,100.19109880517914,5.995674818362492
4qac,9.4,-10.456,-10.0,24,362.71557745493965,63.92504861586896,0.0,0.0,133.47749586343375,560.1181219342425,2,0,3.9809000000000028,0,55,529,1037,0,28,133,246,0,0,0,0,0,0,0,0,2,32,190,327,0.4117647058823529,4,1,1,336.361,2,1,0.3333333333333333,3,2,55.040000000000006,157.59025503295933,1831.7219295502848,1.6794617113976908,227.19031945676394,6.819956522745898
3u8n,10.17,-4.931,-2.721,17,269.343745819142,35.771458506999835,2.19745399743077,0.0,nan,nan,2,0,2.0424999999999995,0,47,306,695,0,17,107,199,0,2,32,68,0,0,0,0,1,51,197,446,0.5833333333333334,4,1,2,300.2000000000001,3,1,0.5,2,3,37.39,136.20239746378445,1566.6396302954329,2.4420540399603543,126.54390836253036,9.054333155988525
2qnq,6.11,-8.876,-5.502,41,521.6555576525046,11.623583781576379,75.37964881776452,2.1618648044166804,90.94414761015815,701.7648026664205,6,0,5.415800000000005,0,77,678,1776,0,7,65,173,0,19,92,216,0,5,44,110,1,24,80,156,0.2,5,1,2,630.6190000000004,7,1,0.25,5,10,86.78999999999999,147.99935345555977,2663.437076119984,3.4141190704678497,192.2960145305509,12.62298111861196
1g2k,7.96,-9.518,-6.915,45,663.8440969022417,5.629229880299271,142.0573310530241,0.6080915083125222,nan,nan,5,1,3.2258000000000013,0,80,819,1765,0,2,76,144,3,55,161,372,0,2,25,52,0,42,156,383,0.2647058823529412,7,3,6,631.7510000000001,9,3,0.5,5,11,128.64000000000001,195.57844575866386,3059.494435082922,4.576036371834932,203.2327708981239,8.671651108264196
1eby,9.7,-11.728,-9.421,48,720.2844393269961,1.0296236537235877,130.919342097723,0.0,30.663445997227072,882.8968510756697,6,0,2.427999999999998,0,109,1057,2090,0,4,44,121,0,46,180,448,0,0,0,0,3,49,144,320,0.3157894736842105,8,6,8,652.7440000000001,8,6,0.5714285714285714,6,13,157.57999999999998,215.85645567503505,3344.8779920782754,5.247468224728921,258.60987402601904,9.993300927825828
3o9i,11.82,-9.596,-7.556,42,569.6221365319624,23.819776454353047,113.76590437922572,34.75408939569444,16.63861812879759,758.6005248900332,6,0,4.183000000000003,0,77,780,1665,0,12,66,175,1,52,149,392,0,3,44,105,0,21,45,114,0.5333333333333333,9,2,5,617.7900000000003,9,2,0.45454545454545453,5,13,127.29,185.8481028868969,2723.1300982216603,4.109099176470626,196.77972104977306,6.388134432636277
4lzs,4.8,-6.303,-5.043,15,278.4945449662106,16.334295572339197,51.58016272371555,0.0,15.652028511620617,362.06103177388593,1,0,1.44772,0,29,247,599,0,10,51,109,1,6,46,101,0,0,0,0,1,11,62,99,0.45454545454545453,2,2,3,208.261,2,2,0.75,1,3,61.96,68.8401520355307,1020.2520621330606,1.3709779916202152,85.65782653131683,2.7423379577606974
3u5j,5.61,-8.722,-7.06,22,296.0047815333499,64.90622960570711,0.0,0.0,52.40730581020698,413.318316949264,3,0,3.5801200000000017,0,35,330,797,0,14,89,228,0,0,0,0,0,0,0,0,0,2,18,39,0.11764705882352941,3,0,0,308.772,3,0,0.0,4,1,43.07,84.6521045390769,1160.4610157111879,0.0,134.87546701156995,1.7083790632807534
4wiv,6.26,-7.662,-6.093,27,350.354895947845,42.090694697096254,18.62508041793895,0.0,0.0,411.07067106288025,3,1,4.8785400000000045,0,40,308,822,0,7,54,151,0,5,33,60,0,0,0,0,0,0,2,29,0.2857142857142857,5,1,1,361.44900000000007,4,1,0.2,4,3,68.25,81.26598027821161,1124.455741077435,0.24758422039047356,124.932910567656,1.7913595064107775
4ogj,6.79,-8.446,-5.913,37,514.7288428446868,32.38331798791268,41.15267888151995,0.3832314972630492,8.415683609346942,597.0637548207292,6,1,4.823620000000004,0,54,463,1256,1,14,108,307,0,4,36,126,0,0,10,44,1,12,66,133,0.4074074074074074,8,3,3,524.6910000000003,7,3,0.3,4,10,108.47999999999999,114.8402721893623,1983.5145114536847,1.5444348876853624,162.63647292018567,4.058919262112041
3p5o,7.3,-8.621,-6.13,30,334.68054976719185,61.258774788872955,29.050608878269344,0.0,54.89951586623657,479.8894493005706,4,1,3.6560200000000016,0,44,385,992,0,17,97,269,0,4,31,70,0,0,0,0,0,4,34,63,0.2727272727272727,5,1,1,423.90400000000017,5,1,0.16666666666666666,4,5,81.4,103.01487050022806,1500.0679635653335,0.6003068288799986,153.0063908126004,3.507001306213718
1ps3,2.28,-7.278,-6.546,16,122.5601891943955,8.280170916154995,157.36793221704443,0.0,40.74092513582114,328.949217463416,3,0,-4.271899999999997,0,50,261,502,0,7,54,121,1,53,185,374,0,0,0,0,2,49,162,335,0.75,6,5,8,232.19199999999998,6,5,0.7272727272727273,2,1,130.32999999999998,132.33575049881296,1505.8449709645288,7.1134133245808036,76.95565418644193,8.793761733009141
3dx1,3.58,-5.932,-5.945,9,108.4156969057686,24.58020825614653,86.33689660160766,0.0,54.74356900808196,274.07637077160473,0,0,-2.199899999999999,0,43,181,355,0,11,25,61,1,37,121,224,0,0,0,0,4,57,160,353,1.0,4,4,8,133.14700000000002,4,4,1.0,1,0,86.71000000000001,105.16702706071989,1112.0361026135345,8.994952382265089,54.73474617362246,11.495712328638835
3d4z,4.89,-6.308,-5.724,14,139.77235757386939,11.979976229573772,129.5908142652903,0.0,35.91898547110909,317.2621335398426,1,0,-2.3956,0,50,263,517,0,11,54,120,1,46,154,277,0,0,0,0,3,48,164,343,0.625,4,5,8,201.202,4,5,0.8888888888888888,2,1,100.59,125.10425482858535,1430.476572661797,7.798603378765695,79.6130865555305,11.818703903885433
3dx2,6.82,-6.182,-5.465,12,136.0077603219519,24.820327622105392,93.00148873076452,23.109855271863985,48.61284791150623,325.55227985819204,0,0,-2.842899999999999,0,49,221,427,0,10,25,66,1,42,150,291,0,4,38,55,4,58,159,352,1.0,5,4,9,195.24,5,4,1.0,1,1,103.78000000000002,118.29779976516001,1349.4848630325114,10.096693269720788,71.64759927381151,14.114669752438406
3ejr,8.57,-7.796,-6.588,25,285.00938648353014,2.9738553099881933,115.63549258398159,0.0,28.895493186786233,432.5142275642861,1,0,1.4861999999999997,0,88,494,1037,0,6,37,62,1,46,128,296,0,0,0,0,3,42,107,223,0.65,5,3,7,347.4550000000001,5,3,0.875,3,3,81.00000000000001,158.1337568244993,1835.3724543273217,7.677675598174579,131.08846176097578,13.68994336181263
3l7b,2.4,-8.083,-6.017,19,171.23087568259905,52.41159704843694,134.8147079706768,0.0,86.24411034612199,444.7012910478348,3,1,-2.224899999999999,0,43,351,651,0,14,94,194,0,48,142,347,0,0,0,0,3,49,184,442,0.6,7,4,6,275.23600000000005,6,4,0.6,2,2,130.83,123.12759889133855,1802.6629839575799,3.347966493201012,88.17401584347306,5.321699874351745
4eky,3.52,-9.703,-7.553,24,313.4407967232948,11.230016913270331,202.05869821497114,0.0,49.63234791642549,576.3618597679617,2,1,-2.339399999999999,0,79,545,1032,0,14,61,124,3,68,198,507,0,0,0,0,4,50,157,366,0.6,7,5,9,340.33200000000005,7,5,0.75,2,3,145.01000000000002,173.48233664314546,2264.3275324221418,7.1661546378279635,125.3162578034443,11.178223685448692
3g2n,4.09,-8.555,-6.482,20,278.4124691514801,1.8254908479178604,166.2264897427137,0.0,42.1063211630022,488.5707709051138,3,1,-1.7836999999999998,0,50,453,889,0,3,33,65,1,56,178,426,0,0,0,0,2,47,152,356,0.46153846153846156,6,5,7,283.28000000000003,6,5,0.6363636363636364,2,3,119.25000000000001,122.24546727592026,1913.680854468881,4.659989445878277,96.65607284394436,5.638582821195172
3syr,5.1,-9.352,-7.582,20,146.04025270597057,10.456896234872959,202.4885260714059,0.0,88.21255680687787,447.1982318191273,1,1,-3.3519,0,50,364,650,0,14,58,131,3,64,203,501,0,0,0,0,3,52,192,433,0.6,7,5,10,292.21900000000005,7,5,0.8333333333333334,2,2,145.01000000000002,139.76073336504138,1902.8262882179258,7.259269033778402,85.88212007263085,7.8103876430963
3ebp,5.91,-8.984,-5.411,28,276.0128906858593,0.0,60.12673478629924,0.0,60.495658794386614,396.6352842665451,6,3,3.304600000000003,0,65,429,1024,0,0,0,19,0,19,106,199,0,0,0,0,0,19,63,136,0.2857142857142857,6,3,0,401.84600000000006,6,3,0.0,4,2,94.14000000000001,121.02822967581376,1517.6970516156496,0.0,180.11153565173254,6.36751000883911
2w66,4.05,-5.024,-3.09,16,199.5836233424593,8.275450777758765,126.48055113287245,0.0,nan,nan,3,1,-3.4620999999999986,0,52,246,506,0,10,73,144,1,45,160,342,0,0,0,0,3,71,339,734,0.8888888888888888,6,6,8,234.25199999999998,6,6,0.6666666666666666,1,2,122.05000000000001,122.4645844941545,1960.2198452591326,6.296083879117112,77.28996791076895,12.781916607763167
2w4x,4.85,-5.603,-3.796,18,169.36989485374957,22.604417181503315,180.52078199844607,0.0,37.43373584674454,409.9288298804436,5,1,-2.8908999999999994,0,29,235,493,0,16,78,178,1,39,196,418,0,0,0,0,2,33,139,265,0.875,8,5,7,265.22200000000004,8,5,0.5384615384615384,1,3,151.92,88.70092139890065,1529.3999894199078,4.964088985831289,59.78425341171181,7.708421543941716
2wca,5.6,-6.402,-4.323,27,281.2365184061533,9.178085938843841,138.72522530147913,0.0,42.98008845935018,472.1199181058266,5,2,-0.05360000000000009,0,47,364,744,0,5,54,135,0,38,177,375,0,0,0,0,2,37,117,245,0.47058823529411764,8,5,6,381.3850000000001,8,5,0.46153846153846156,2,6,149.71,111.53433928798832,1698.7814158551755,4.125184682721359,109.229680560455,9.565704526029364
2xj7,6.66,-8.247,-6.389,16,252.231368906897,5.848357685284111,96.91097360700876,0.0,43.65472753311751,398.6454277323074,2,0,-2.338299999999998,0,61,353,723,0,11,77,134,1,35,142,284,0,0,0,0,3,39,129,272,0.9,5,4,7,230.26399999999995,5,4,0.7777777777777778,2,1,93.03,119.924946104242,1616.560193256154,4.945599199117994,95.25274057274433,8.026205094730873
2vvn,7.3,-7.053,-5.322,16,233.51538877957606,23.269715054710105,97.71624238972767,35.06936853278178,38.34708159109295,427.91779634788855,3,0,-1.4936999999999994,0,50,350,668,0,13,82,150,0,29,141,282,0,6,39,76,3,35,145,283,0.8888888888888888,7,4,7,248.30400000000003,6,4,0.7,2,2,94.31000000000002,119.03031932171082,1693.890596046085,4.5355420975017315,100.3628757775787,8.761142828802571
3aru,3.22,-5.524,-3.246,20,281.09529938317047,4.00003101815123,69.60554549002828,0.0,0.0,354.70087589134994,3,0,0.19299999999999962,0,44,267,697,0,12,62,170,0,20,66,147,0,0,0,0,0,0,0,0,0.5384615384615384,4,0,1,278.31200000000007,4,0,0.25,2,5,78.89,95.83210423061573,1076.7640374642071,0.3632952874828461,101.56912040392875,4.117157050276568
3arv,5.64,-9.549,-5.609,25,283.44522586520867,0.319745648948229,29.663161079266956,0.0,0.0,313.42813259342364,3,0,3.4281000000000024,0,81,358,857,0,5,14,44,0,11,56,149,0,0,0,0,0,0,0,0,0.15,4,0,1,332.3350000000001,4,0,0.25,6,0,40.8,124.02172637151436,1136.6404788711536,0.05391995892657153,171.4503095093029,6.643066357615019
3ary,6.0,-5.986,-3.404,17,213.02404329146339,35.042648945819714,11.187884231048987,54.45209101178515,2.210761654929736,315.917429135047,3,1,2.5168999999999997,0,61,228,529,0,14,49,149,0,4,27,43,0,1,18,49,0,3,18,42,0.16666666666666666,5,1,0,243.29099999999997,3,1,0.0,3,2,49.89,99.83696810500997,876.1993491063648,0.0,111.59302923770589,4.124791819377062
3arq,6.4,-8.759,-4.598,36,283.6077070919738,28.253644181602077,120.69114747544049,0.0,25.374105803307852,457.9266045523241,9,3,1.0202999999999998,0,83,463,1122,0,3,19,29,0,28,151,377,0,0,0,0,0,20,117,199,0.4230769230769231,10,5,3,497.50000000000034,10,5,0.2,5,3,176.61,147.8566459891894,1886.7350315158758,0.5844107950809122,185.7417713924321,8.374081765240682
3arp,7.15,-8.456,-5.845,34,544.2895625274306,39.55342450757546,0.0,0.0,10.660734520762041,594.5037215557682,0,2,6.170240000000003,0,90,574,1479,0,17,68,181,0,0,0,0,0,0,0,0,0,15,68,191,0.4,2,2,0,456.6780000000005,0,2,0.0,4,11,59.8,165.0277375028438,1939.274977790135,0.0,242.3832584882155,7.380003625697374
4ih5,4.11,-6.259,-4.507,17,241.41385255519967,95.38470624832604,0.0,0.0,24.78088672001676,361.57944552354246,2,1,1.7918999999999992,0,27,292,700,1,21,129,357,0,0,0,0,0,0,0,0,2,11,62,174,0.0,5,3,3,226.24300000000005,3,3,0.5,3,3,78.52,68.29358736839059,1306.625211776243,1.6974219496746201,73.31114171278706,3.299445689713297
4ih7,5.24,-7.499,-5.584,17,343.3979942755735,8.433697494831508,34.084126018396866,0.0,12.011361111097086,397.927178899899,0,0,3.339400000000002,0,45,393,933,0,4,25,63,1,8,19,44,0,0,0,0,1,4,29,64,0.26666666666666666,1,1,2,227.307,1,1,1.0,2,1,32.86,75.31346402139356,1216.6890334016532,1.4201560762210004,99.17290168770626,3.3735846986147777
3cj4,6.51,-6.294,-5.375,25,238.71723714435868,1.1351738100777955,97.92129877965388,0.0,108.86336758816131,446.6370773222517,1,1,3.3705000000000025,0,36,356,826,0,2,28,89,1,24,62,139,0,0,0,0,0,19,65,126,0.5,3,2,4,411.2960000000003,4,2,0.6666666666666666,2,5,86.71,98.22740557868136,1293.7454256064007,3.3668532875842363,117.899078536991,5.3702954368930484
