pdbid,pKd,vina,vinardo,hac,status
4ivd,9.52,-8.903,-5.931,25,ok
4ivc,10.0,-9.805,-6.441,24,ok
4f09,6.7,-8.212,-5.3,19,ok
4gfm,7.22,-7.327,-4.573,18,ok
4hge,7.92,-8.917,-5.116,25,ok
4e6q,8.36,-8.92,-5.657,25,ok
4jia,9.22,-9.263,-6.374,31,ok
2brb,4.86,-7.531,-5.364,25,ok
2br1,5.14,-7.506,-5.104,29,ok
3jvr,5.72,-7.047,-6.015,23,ok
3jvs,6.54,-7.519,-5.937,30,ok
1nvq,8.25,-13.195,-10.092,36,ok
3acw,4.76,-9.727,-7.88,21,ok
4ea2,6.44,-7.584,-5.28,24,ok
2zcr,6.87,-8.273,-6.794,28,ok
2zy1,7.4,-8.285,-6.449,24,ok
2zcq,8.82,-8.404,-6.509,25,ok
1bcu,3.28,-6.566,-5.199,16,ok
1oyt,7.24,,,,FAIL_receptor_prep
2zda,8.4,,,,FAIL_receptor_prep
3u9q,4.38,-5.023,-4.921,12,ok
2yfe,6.63,-7.371,-4.48,25,ok
3fur,8.0,-11.088,-8.703,31,ok
3b1m,8.48,-10.278,-7.652,38,ok
2p4y,9.0,-10.632,-7.049,40,ok
3uo4,6.52,-8.776,-6.78,29,ok
3up2,7.4,-8.629,-6.577,28,ok
3e5a,8.23,-8.394,-5.517,33,ok
2wtv,8.74,-10.238,-6.681,34,ok
3myg,10.7,-6.467,-3.829,30,ok
3kgp,2.57,-4.171,-2.858,11,ok
1sqa,9.21,-7.707,-5.257,31,ok
4jsz,2.3,-3.567,-2.809,10,ok
3kwa,4.08,-2.68,-0.475,14,ok
2weg,6.5,-5.756,-4.977,11,ok
3ryj,7.8,-6.282,-4.562,18,ok
3dd0,9.0,-5.996,-4.493,16,ok
2xdl,3.1,-6.244,-3.631,16,ok
3b27,5.16,-6.712,-4.477,16,ok
1yc1,6.17,-9.227,-5.77,27,ok
3rlr,7.52,-9.108,-6.17,23,ok
2yki,9.46,-15.306,-13.282,34,ok
1z95,7.12,-10.313,-7.285,29,ok
3b68,8.4,-10.355,-7.324,31,ok
3b5r,8.77,-10.223,-7.24,28,ok
3b65,9.27,-10.555,-7.389,25,ok
3g0w,9.52,-10.607,-7.953,24,ok
4u4s,2.92,,,,FAIL_receptor_prep
1p1q,4.89,,,,FAIL_receptor_prep
1syi,5.44,,,,FAIL_receptor_prep
1p1n,6.8,,,,FAIL_receptor_prep
2al5,8.4,-4.907,-2.921,16,ok
3g2z,2.36,-3.975,-3.128,13,ok
3g31,2.89,-3.004,-1.946,17,ok
4de2,4.12,-7.736,-6.032,24,ok
4de3,5.52,-7.932,-6.25,21,ok
4de1,5.96,-7.816,-6.501,23,ok
1vso,4.72,-5.367,-5.14,21,ok
4dld,5.82,-6.91,-5.896,21,ok
3gbb,6.9,-7.924,-6.437,18,ok
3fv2,8.11,-9.258,-7.042,20,ok
3fv1,9.3,-9.244,-7.288,21,ok
4mgd,4.69,-7.744,-6.815,19,ok
2qe4,7.96,-9.129,-7.452,24,ok
1qkt,9.04,-9.201,-7.944,20,ok
2pog,9.54,-9.552,-8.559,21,ok
2p15,10.3,-13.744,-12.497,32,ok
1lpg,7.09,-7.994,-3.952,41,ok
2xbv,8.43,,,,FAIL_receptor_prep
1z6e,9.72,-10.695,-8.853,38,ok
1mq6,11.15,-9.295,-6.83,36,ok
1nc3,5.0,-9.135,-7.881,19,ok
1nc1,6.12,-7.52,-5.247,20,ok
1y6r,10.11,-8.996,-7.047,20,ok
4f2w,11.3,-8.771,-6.871,20,ok
4f3c,11.82,-8.674,-6.943,23,ok
1uto,2.27,,,,FAIL_receptor_prep
4abg,3.57,,,,FAIL_receptor_prep
3gy4,5.1,-5.944,-5.115,10,ok
2fxs,6.06,-5.362,-2.848,28,ok
2iwx,6.68,-5.11,-3.25,24,ok
2wer,7.05,,,,FAIL_receptor_prep
2vw5,8.52,-6.13,-4.371,36,ok
4kzq,6.1,-10.804,-7.925,18,ok
4kzu,6.5,-11.345,-8.676,18,ok
4j21,7.41,-11.666,-8.537,20,ok
4j3l,7.8,-10.746,-7.756,26,ok
3kr8,8.1,-10.584,-7.736,21,ok
2ymd,3.16,-6.857,-6.33,13,ok
2wnc,6.32,-7.289,-4.328,21,ok
2xys,7.42,-8.528,-4.473,25,ok
2wn9,8.52,-7.022,-5.745,22,ok
2x00,11.33,-8.837,-7.169,37,ok
3ozt,4.13,-10.096,-7.892,31,ok
3ozs,5.33,-9.505,-7.228,33,ok
3oe5,6.88,-9.277,-7.492,31,ok
3oe4,7.47,-9.565,-7.068,33,ok
3nw9,9.0,-10.889,-8.474,38,ok
3ao4,2.07,-6.229,-3.35,16,ok
3zt2,2.84,-9.105,-6.922,23,ok
3zsx,3.28,-7.212,-5.646,34,ok
4cig,3.67,-7.469,-6.002,37,ok
3zso,5.12,,,,FAIL_receptor_prep
3n7a,3.7,-6.985,-6.542,12,ok
4ciw,4.82,,,,FAIL_receptor_prep
3n86,5.64,-10.499,-8.909,23,ok
3n76,6.85,-8.799,-7.806,22,ok
2xb8,7.59,-8.653,-6.183,22,ok
4bkt,3.62,-5.795,-5.127,19,ok
4w9c,4.65,-7.089,-5.965,28,ok
4w9l,5.02,-7.932,-6.612,41,ok
4w9i,5.96,-7.985,-6.311,33,ok
4w9h,6.73,-8.018,-6.099,33,ok
3nq9,4.03,-2.711,-2.341,10,ok
3ueu,5.24,-4.596,-3.947,14,ok
3uex,6.92,-5.222,-4.761,20,ok
3lka,2.82,-5.267,-3.915,12,ok
3ehy,5.85,-5.384,-3.95,17,ok
3tsk,7.17,-7.817,-6.115,40,ok
3nx7,8.1,-6.214,-4.5,20,ok
4gr0,9.55,-10.4,-8.286,44,ok
3dxg,2.4,-4.387,-2.54,21,ok
3d6q,3.76,-4.855,-3.142,22,ok
1w4o,5.22,-5.458,-4.755,21,ok
1o0h,5.92,-6.205,-4.617,27,ok
1u1b,7.8,-6.888,-4.244,51,ok
