ligand,condition,receptor,seed,pose_rank,vina_score,rmsd,posebusters_pass
3DBK_RDF,B,1EZM_apo,1,3,-6.717,2.929,
3DBK_RDF,B,1EZM_apo,1,4,-6.712,3.121,
3DBK_RDF,B,1EZM_apo,1,5,-6.701,2.937,
3DBK_RDF,B,1EZM_apo,1,6,-6.644,3.11,
3DBK_RDF,B,1EZM_apo,1,7,-6.565,2.86,
3DBK_RDF,B,1EZM_apo,1,8,-6.56,3.387,
3DBK_RDF,B,1EZM_apo,1,9,-6.505,2.128,
3DBK_RDF,B,1EZM_apo,1,10,-6.498,3.256,
3DBK_RDF,B,1EZM_apo,1,11,-6.497,3.702,
3DBK_RDF,B,1EZM_apo,1,12,-6.49,3.168,
3DBK_RDF,B,1EZM_apo,1,13,-6.468,3.145,
3DBK_RDF,B,1EZM_apo,1,14,-6.394,3.73,
3DBK_RDF,B,1EZM_apo,1,15,-6.345,3.017,
3DBK_RDF,B,1EZM_apo,1,16,-6.311,3.26,
3DBK_RDF,B,1EZM_apo,1,17,-6.306,3.824,
3DBK_RDF,B,1EZM_apo,1,18,-6.28,2.794,
3DBK_RDF,B,1EZM_apo,1,19,-6.27,3.379,
3DBK_RDF,B,1EZM_apo,1,20,-6.187,2.995,
3DBK_RDF,B,1EZM_apo,2,1,-6.853,3.736,True
3DBK_RDF,B,1EZM_apo,2,2,-6.797,2.982,
3DBK_RDF,B,1EZM_apo,2,3,-6.768,3.672,
3DBK_RDF,B,1EZM_apo,2,4,-6.744,3.443,
3DBK_RDF,B,1EZM_apo,2,5,-6.74,3.108,
3DBK_RDF,B,1EZM_apo,2,6,-6.733,2.685,
3DBK_RDF,B,1EZM_apo,2,7,-6.658,2.548,
3DBK_RDF,B,1EZM_apo,2,8,-6.552,3.16,
3DBK_RDF,B,1EZM_apo,2,9,-6.497,3.713,
3DBK_RDF,B,1EZM_apo,2,10,-6.448,3.69,
3DBK_RDF,B,1EZM_apo,2,11,-6.389,3.463,
3DBK_RDF,B,1EZM_apo,2,12,-6.348,3.769,
3DBK_RDF,B,1EZM_apo,2,13,-6.335,3.676,
3DBK_RDF,B,1EZM_apo,2,14,-6.285,3.391,
3DBK_RDF,B,1EZM_apo,2,15,-6.261,3.015,
3DBK_RDF,B,1EZM_apo,2,16,-6.22,2.911,
3DBK_RDF,B,1EZM_apo,2,17,-6.207,2.035,
3DBK_RDF,B,1EZM_apo,2,18,-6.206,3.178,
3DBK_RDF,B,1EZM_apo,2,19,-6.182,2.257,
3DBK_RDF,B,1EZM_apo,2,20,-6.176,3.421,
6F8B_CXH,A,beta0.0,1,1,-5.275,1.192,True
6F8B_CXH,A,beta0.0,1,2,-5.272,1.156,
6F8B_CXH,A,beta0.0,1,3,-5.253,1.201,
6F8B_CXH,A,beta0.0,1,4,-5.207,0.464,
6F8B_CXH,A,beta0.0,1,5,-5.141,0.48,
6F8B_CXH,A,beta0.0,1,6,-5.069,0.815,
6F8B_CXH,A,beta0.0,1,7,-5.023,0.941,
6F8B_CXH,A,beta0.0,1,8,-5.014,1.167,
6F8B_CXH,A,beta0.0,1,9,-4.896,0.813,
6F8B_CXH,A,beta0.0,1,10,-4.86,1.037,
6F8B_CXH,A,beta0.0,1,11,-4.795,0.886,
6F8B_CXH,A,beta0.0,1,12,-4.705,0.932,
6F8B_CXH,A,beta0.0,1,13,-4.643,0.98,
6F8B_CXH,A,beta0.0,1,14,-4.612,0.914,
6F8B_CXH,A,beta0.0,1,15,-4.607,0.942,
6F8B_CXH,A,beta0.0,1,16,-4.526,0.613,
6F8B_CXH,A,beta0.0,1,17,-4.488,0.943,
6F8B_CXH,A,beta0.0,1,18,-4.451,0.895,
6F8B_CXH,A,beta0.0,1,19,-4.262,0.981,
6F8B_CXH,A,beta0.0,1,20,-4.259,0.933,
6F8B_CXH,A,beta3.2,2,1,-5.7,0.872,True
6F8B_CXH,A,beta3.2,2,2,-5.488,0.928,
6F8B_CXH,A,beta3.2,2,3,-5.247,1.105,
6F8B_CXH,A,beta3.2,2,4,-4.908,0.765,
6F8B_CXH,A,beta3.2,2,5,-4.904,0.888,
6F8B_CXH,A,beta3.2,2,6,-4.899,0.597,
6F8B_CXH,A,beta3.2,2,7,-4.795,1.14,
6F8B_CXH,A,beta3.2,2,8,-4.794,0.805,
6F8B_CXH,A,beta3.2,2,9,-4.755,0.661,
6F8B_CXH,A,beta3.2,2,10,-4.607,0.951,
6F8B_CXH,A,beta3.2,2,11,-4.58,0.855,
6F8B_CXH,A,beta3.2,2,12,-4.529,1.212,
6F8B_CXH,A,beta3.2,2,13,-4.512,1.135,
6F8B_CXH,A,beta3.2,2,14,-4.365,0.668,
6F8B_CXH,A,beta3.2,2,15,-4.337,1.101,
6F8B_CXH,A,beta3.2,2,16,-4.249,0.803,
6F8B_CXH,A,beta3.2,2,17,-4.246,1.163,
6F8B_CXH,A,beta3.2,2,18,-4.18,0.955,
6F8B_CXH,A,beta3.2,2,19,-4.095,0.488,
6F8B_CXH,A,beta3.2,2,20,-4.054,0.406,
6F8B_CXH,B,1EZM_apo,1,1,-4.177,0.837,True
6F8B_CXH,B,1EZM_apo,1,2,-4.123,1.164,
6F8B_CXH,B,1EZM_apo,1,3,-4.028,0.561,
6F8B_CXH,B,1EZM_apo,1,4,-3.941,0.933,
6F8B_CXH,B,1EZM_apo,1,5,-3.873,0.919,
6F8B_CXH,B,1EZM_apo,1,6,-3.861,1.197,
6F8B_CXH,B,1EZM_apo,1,7,-3.837,0.542,
6F8B_CXH,B,1EZM_apo,1,8,-3.837,1.129,
6F8B_CXH,B,1EZM_apo,1,9,-3.809,1.22,
6F8B_CXH,B,1EZM_apo,1,10,-3.789,0.945,
6F8B_CXH,B,1EZM_apo,1,11,-3.68,0.402,
6F8B_CXH,B,1EZM_apo,1,12,-3.646,0.917,
6F8B_CXH,B,1EZM_apo,1,13,-3.569,1.224,
6F8B_CXH,B,1EZM_apo,1,14,-3.551,1.198,
6F8B_CXH,B,1EZM_apo,1,15,-3.54,0.495,
6F8B_CXH,B,1EZM_apo,1,16,-3.533,1.18,
6F8B_CXH,B,1EZM_apo,1,17,-3.52,0.911,
6F8B_CXH,B,1EZM_apo,1,18,-3.518,1.155,
6F8B_CXH,B,1EZM_apo,1,19,-3.472,0.745,
6F8B_CXH,B,1EZM_apo,1,20,-3.408,0.87,
6F8B_CXH,B,1EZM_apo,2,1,-4.173,0.837,True
6F8B_CXH,B,1EZM_apo,2,2,-4.145,1.087,
6F8B_CXH,B,1EZM_apo,2,3,-4.087,0.696,
6F8B_CXH,B,1EZM_apo,2,4,-3.94,0.939,
6F8B_CXH,B,1EZM_apo,2,5,-3.889,0.97,
6F8B_CXH,B,1EZM_apo,2,6,-3.855,0.927,
6F8B_CXH,B,1EZM_apo,2,7,-3.85,1.137,
6F8B_CXH,B,1EZM_apo,2,8,-3.848,0.572,
6F8B_CXH,B,1EZM_apo,2,9,-3.804,1.217,
6F8B_CXH,B,1EZM_apo,2,10,-3.69,1.156,
6F8B_CXH,B,1EZM_apo,2,11,-3.631,0.865,
6F8B_CXH,B,1EZM_apo,2,12,-3.614,0.201,
6F8B_CXH,B,1EZM_apo,2,13,-3.591,0.914,
6F8B_CXH,B,1EZM_apo,2,14,-3.553,0.941,
6F8B_CXH,B,1EZM_apo,2,15,-3.529,0.93,
6F8B_CXH,B,1EZM_apo,2,16,-3.459,0.883,
6F8B_CXH,B,1EZM_apo,2,17,-3.42,1.181,
6F8B_CXH,B,1EZM_apo,2,18,-3.41,0.887,
6F8B_CXH,B,1EZM_apo,2,19,-3.398,1.116,
6F8B_CXH,B,1EZM_apo,2,20,-3.349,0.822,
6FZX_EEK,A,beta0.0,1,1,-7.222,1.322,True
6FZX_EEK,A,beta0.0,1,2,-7.003,0.509,
6FZX_EEK,A,beta0.0,1,3,-6.783,0.579,
6FZX_EEK,A,beta0.0,1,4,-6.766,1.556,
6FZX_EEK,A,beta0.0,1,5,-6.746,1.502,
6FZX_EEK,A,beta0.0,1,6,-6.546,0.78,
6FZX_EEK,A,beta0.0,1,7,-6.543,1.392,
6FZX_EEK,A,beta0.0,1,8,-6.366,1.21,
6FZX_EEK,A,beta0.0,1,9,-6.281,1.592,
6FZX_EEK,A,beta0.0,1,10,-6.115,1.202,
6FZX_EEK,A,beta0.0,1,11,-6.089,1.203,
6FZX_EEK,A,beta0.0,1,12,-6.01,1.712,
6FZX_EEK,A,beta0.0,1,13,-5.988,1.523,
6FZX_EEK,A,beta0.0,1,14,-5.837,0.569,
6FZX_EEK,A,beta0.0,1,15,-5.758,1.16,
6FZX_EEK,A,beta0.0,1,16,-5.623,0.903,
6FZX_EEK,A,beta0.0,1,17,-5.561,1.706,
6FZX_EEK,A,beta0.0,1,18,-5.558,1.432,
6FZX_EEK,A,beta0.0,1,19,-5.495,1.138,
6FZX_EEK,A,beta0.0,1,20,-5.491,1.425,
6FZX_EEK,A,beta3.2,2,1,-7.207,1.472,True
6FZX_EEK,A,beta3.2,2,2,-7.195,0.946,
6FZX_EEK,A,beta3.2,2,3,-6.836,1.36,
6FZX_EEK,A,beta3.2,2,4,-6.631,0.996,
6FZX_EEK,A,beta3.2,2,5,-6.472,1.192,
6FZX_EEK,A,beta3.2,2,6,-6.429,1.542,
6FZX_EEK,A,beta3.2,2,7,-6.325,1.568,
6FZX_EEK,A,beta3.2,2,8,-6.298,1.105,
6FZX_EEK,A,beta3.2,2,9,-6.147,1.197,
6FZX_EEK,A,beta3.2,2,10,-6.032,0.946,
6FZX_EEK,A,beta3.2,2,11,-5.879,1.107,
6FZX_EEK,A,beta3.2,2,12,-5.829,1.257,
6FZX_EEK,A,beta3.2,2,13,-5.807,1.18,
6FZX_EEK,A,beta3.2,2,14,-5.706,1.602,
6FZX_EEK,A,beta3.2,2,15,-5.624,1.473,
6FZX_EEK,A,beta3.2,2,16,-5.575,0.823,
6FZX_EEK,A,beta3.2,2,17,-5.507,0.991,
6FZX_EEK,A,beta3.2,2,18,-5.397,0.816,
6FZX_EEK,A,beta3.2,2,19,-5.393,0.944,
6FZX_EEK,A,beta3.2,2,20,-5.377,1.497,
6FZX_EEK,B,1EZM_apo,1,1,-6.301,0.984,True
6FZX_EEK,B,1EZM_apo,1,2,-6.063,1.533,
6FZX_EEK,B,1EZM_apo,1,3,-6.055,1.258,
6FZX_EEK,B,1EZM_apo,1,4,-5.842,0.892,
6FZX_EEK,B,1EZM_apo,1,5,-5.722,0.893,
6FZX_EEK,B,1EZM_apo,1,6,-5.549,1.228,
6FZX_EEK,B,1EZM_apo,1,7,-5.509,1.124,
6FZX_EEK,B,1EZM_apo,1,8,-5.489,1.192,
6FZX_EEK,B,1EZM_apo,1,9,-5.387,1.412,
6FZX_EEK,B,1EZM_apo,1,10,-5.277,1.291,
6FZX_EEK,B,1EZM_apo,1,11,-5.246,1.415,
6FZX_EEK,B,1EZM_apo,1,12,-5.072,1.235,
6FZX_EEK,B,1EZM_apo,1,13,-5.068,1.517,
6FZX_EEK,B,1EZM_apo,1,14,-5.065,1.33,
6FZX_EEK,B,1EZM_apo,1,15,-5.01,1.07,
6FZX_EEK,B,1EZM_apo,1,16,-5.005,1.546,
6FZX_EEK,B,1EZM_apo,1,17,-4.902,1.039,
6FZX_EEK,B,1EZM_apo,1,18,-4.875,1.132,
6FZX_EEK,B,1EZM_apo,1,19,-4.874,1.561,
6FZX_EEK,B,1EZM_apo,1,20,-4.798,1.104,
6FZX_EEK,B,1EZM_apo,2,1,-6.277,0.993,True
6FZX_EEK,B,1EZM_apo,2,2,-5.982,1.529,
6FZX_EEK,B,1EZM_apo,2,3,-5.963,0.872,
6FZX_EEK,B,1EZM_apo,2,4,-5.638,1.706,
6FZX_EEK,B,1EZM_apo,2,5,-5.615,1.164,
6FZX_EEK,B,1EZM_apo,2,6,-5.546,1.199,
6FZX_EEK,B,1EZM_apo,2,7,-5.52,1.21,
6FZX_EEK,B,1EZM_apo,2,8,-5.475,1.259,
6FZX_EEK,B,1EZM_apo,2,9,-5.457,1.055,
6FZX_EEK,B,1EZM_apo,2,10,-5.431,1.409,
6FZX_EEK,B,1EZM_apo,2,11,-5.312,1.289,
6FZX_EEK,B,1EZM_apo,2,12,-5.17,1.085,
6FZX_EEK,B,1EZM_apo,2,13,-5.098,1.247,
6FZX_EEK,B,1EZM_apo,2,14,-5.032,1.531,
6FZX_EEK,B,1EZM_apo,2,15,-5.008,1.473,
6FZX_EEK,B,1EZM_apo,2,16,-4.936,0.794,
6FZX_EEK,B,1EZM_apo,2,17,-4.906,1.279,
6FZX_EEK,B,1EZM_apo,2,18,-4.903,1.535,
6FZX_EEK,B,1EZM_apo,2,19,-4.861,1.058,
6FZX_EEK,B,1EZM_apo,2,20,-4.842,1.388,
7QH1_CI8,A,beta0.0,1,1,-6.636,3.508,True
7QH1_CI8,A,beta0.0,1,2,-6.619,2.955,
7QH1_CI8,A,beta0.0,1,3,-6.536,2.952,
7QH1_CI8,A,beta0.0,1,4,-6.527,2.898,
7QH1_CI8,A,beta0.0,1,5,-6.498,3.284,
7QH1_CI8,A,beta0.0,1,6,-6.475,4.334,
7QH1_CI8,A,beta0.0,1,7,-6.398,4.597,
7QH1_CI8,A,beta0.0,1,8,-6.37,3.437,
7QH1_CI8,A,beta0.0,1,9,-6.225,4.604,
7QH1_CI8,A,beta0.0,1,10,-6.198,3.26,
7QH1_CI8,A,beta0.0,1,11,-6.186,3.941,
7QH1_CI8,A,beta0.0,1,12,-6.154,3.306,
7QH1_CI8,A,beta0.0,1,13,-6.124,3.371,
7QH1_CI8,A,beta0.0,1,14,-6.081,1.595,
7QH1_CI8,A,beta0.0,1,15,-6.036,3.963,
7QH1_CI8,A,beta0.0,1,16,-5.953,2.76,
7QH1_CI8,A,beta0.0,1,17,-5.944,2.717,
7QH1_CI8,A,beta0.0,1,18,-5.925,2.717,
7QH1_CI8,A,beta0.0,1,19,-5.921,4.15,
7QH1_CI8,A,beta0.0,1,20,-5.828,1.971,
7QH1_CI8,A,beta3.2,2,1,-7.388,1.486,True
7QH1_CI8,A,beta3.2,2,2,-7.296,1.622,
7QH1_CI8,A,beta3.2,2,3,-7.067,2.688,
7QH1_CI8,A,beta3.2,2,4,-6.935,3.821,
7QH1_CI8,A,beta3.2,2,5,-6.831,2.385,
7QH1_CI8,A,beta3.2,2,6,-6.73,2.559,
7QH1_CI8,A,beta3.2,2,7,-6.68,2.38,
7QH1_CI8,A,beta3.2,2,8,-6.615,4.04,
7QH1_CI8,A,beta3.2,2,9,-6.542,3.034,
7QH1_CI8,A,beta3.2,2,10,-6.484,2.629,
7QH1_CI8,A,beta3.2,2,11,-6.405,3.112,
7QH1_CI8,A,beta3.2,2,12,-6.347,3.068,
7QH1_CI8,A,beta3.2,2,13,-6.319,2.734,
7QH1_CI8,A,beta3.2,2,14,-6.243,4.202,
7QH1_CI8,A,beta3.2,2,15,-6.21,2.274,
7QH1_CI8,A,beta3.2,2,16,-6.191,4.703,
7QH1_CI8,A,beta3.2,2,17,-6.185,3.177,
7QH1_CI8,A,beta3.2,2,18,-6.031,3.317,
7QH1_CI8,A,beta3.2,2,19,-5.98,4.458,
7QH1_CI8,A,beta3.2,2,20,-5.976,3.114,
7QH1_CI8,B,1EZM_apo,1,1,-6.108,3.047,True
7QH1_CI8,B,1EZM_apo,1,2,-6.091,3.908,
7QH1_CI8,B,1EZM_apo,1,3,-6.002,2.214,
7QH1_CI8,B,1EZM_apo,1,4,-5.9,3.193,
7QH1_CI8,B,1EZM_apo,1,5,-5.856,2.383,
7QH1_CI8,B,1EZM_apo,1,6,-5.834,4.091,
7QH1_CI8,B,1EZM_apo,1,7,-5.817,2.015,
7QH1_CI8,B,1EZM_apo,1,8,-5.767,3.991,
7QH1_CI8,B,1EZM_apo,1,9,-5.736,4.102,
7QH1_CI8,B,1EZM_apo,1,10,-5.714,3.064,
7QH1_CI8,B,1EZM_apo,1,11,-5.709,5.15,
7QH1_CI8,B,1EZM_apo,1,12,-5.637,2.019,
7QH1_CI8,B,1EZM_apo,1,13,-5.628,4.032,
7QH1_CI8,B,1EZM_apo,1,14,-5.616,3.334,
7QH1_CI8,B,1EZM_apo,1,15,-5.525,3.39,
7QH1_CI8,B,1EZM_apo,1,16,-5.491,3.301,
7QH1_CI8,B,1EZM_apo,1,17,-5.442,4.363,
7QH1_CI8,B,1EZM_apo,1,18,-5.432,3.389,
7QH1_CI8,B,1EZM_apo,1,19,-5.38,2.563,
7QH1_CI8,B,1EZM_apo,1,20,-5.361,3.581,
7QH1_CI8,B,1EZM_apo,2,1,-5.889,3.162,True
7QH1_CI8,B,1EZM_apo,2,2,-5.79,3.654,
7QH1_CI8,B,1EZM_apo,2,3,-5.77,2.999,
7QH1_CI8,B,1EZM_apo,2,4,-5.734,3.038,
7QH1_CI8,B,1EZM_apo,2,5,-5.723,4.083,
7QH1_CI8,B,1EZM_apo,2,6,-5.717,4.598,
7QH1_CI8,B,1EZM_apo,2,7,-5.678,2.286,
7QH1_CI8,B,1EZM_apo,2,8,-5.671,2.682,
7QH1_CI8,B,1EZM_apo,2,9,-5.65,2.121,
7QH1_CI8,B,1EZM_apo,2,10,-5.564,3.296,
7QH1_CI8,B,1EZM_apo,2,11,-5.557,4.69,
7QH1_CI8,B,1EZM_apo,2,12,-5.54,4.787,
7QH1_CI8,B,1EZM_apo,2,13,-5.492,3.239,
7QH1_CI8,B,1EZM_apo,2,14,-5.461,3.711,
7QH1_CI8,B,1EZM_apo,2,15,-5.45,4.326,
7QH1_CI8,B,1EZM_apo,2,16,-5.426,2.44,
7QH1_CI8,B,1EZM_apo,2,17,-5.422,1.922,
7QH1_CI8,B,1EZM_apo,2,18,-5.414,3.785,
7QH1_CI8,B,1EZM_apo,2,19,-5.401,4.828,
7QH1_CI8,B,1EZM_apo,2,20,-5.39,4.672,
8R1B_XI5,A,beta0.0,1,1,-7.505,1.207,True
8R1B_XI5,A,beta0.0,1,2,-7.238,1.325,
8R1B_XI5,A,beta0.0,1,3,-7.171,1.163,
8R1B_XI5,A,beta0.0,1,4,-7.123,1.83,
8R1B_XI5,A,beta0.0,1,5,-7.082,0.977,
8R1B_XI5,A,beta0.0,1,6,-7.039,1.826,
8R1B_XI5,A,beta0.0,1,7,-6.973,1.433,
8R1B_XI5,A,beta0.0,1,8,-6.969,1.851,
8R1B_XI5,A,beta0.0,1,9,-6.824,1.251,
8R1B_XI5,A,beta0.0,1,10,-6.756,2.325,
8R1B_XI5,A,beta0.0,1,11,-6.726,1.916,
8R1B_XI5,A,beta0.0,1,12,-6.577,1.416,
8R1B_XI5,A,beta0.0,1,13,-6.576,0.927,
8R1B_XI5,A,beta0.0,1,14,-6.324,1.25,
8R1B_XI5,A,beta0.0,1,15,-6.323,2.212,
8R1B_XI5,A,beta0.0,1,16,-6.32,0.882,
8R1B_XI5,A,beta0.0,1,17,-6.306,2.603,
8R1B_XI5,A,beta0.0,1,18,-6.303,1.184,
8R1B_XI5,A,beta0.0,1,19,-6.236,2.232,
8R1B_XI5,A,beta0.0,1,20,-6.147,2.328,
8R1B_XI5,A,beta3.2,2,1,-8.471,1.512,True
8R1B_XI5,A,beta3.2,2,2,-8.211,1.426,
8R1B_XI5,A,beta3.2,2,3,-8.179,1.925,
8R1B_XI5,A,beta3.2,2,4,-8.067,1.044,
8R1B_XI5,A,beta3.2,2,5,-7.851,1.337,
8R1B_XI5,A,beta3.2,2,6,-7.586,1.713,
8R1B_XI5,A,beta3.2,2,7,-7.549,2.045,
8R1B_XI5,A,beta3.2,2,8,-7.424,2.469,
8R1B_XI5,A,beta3.2,2,9,-7.423,1.229,
8R1B_XI5,A,beta3.2,2,10,-7.396,1.227,
8R1B_XI5,A,beta3.2,2,11,-7.294,2.62,
8R1B_XI5,A,beta3.2,2,12,-7.292,0.787,
8R1B_XI5,A,beta3.2,2,13,-7.252,1.881,
8R1B_XI5,A,beta3.2,2,14,-7.135,1.168,
8R1B_XI5,A,beta3.2,2,15,-7.091,1.409,
