mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,label,job,error
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0013_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0013_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0013_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0013_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0013_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0013_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0014_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0014_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0014_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0014_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0014_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0014_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0015_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0015_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0015_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0015_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0015_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0015_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0016_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0016_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0016_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0016_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0016_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0016_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0017_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0017_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0017_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0017_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0017_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0017_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0018_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0018_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0018_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0018_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0018_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0018_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0019_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0019_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0019_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0019_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0019_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0019_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0000_seed123,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0000_seed1337,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0000_seed2024,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0000_seed42,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0000_seed456,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0000_seed789,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0001_seed123,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0001_seed1337,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0001_seed2024,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0001_seed42,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0001_seed456,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0001_seed789,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0002_seed123,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0002_seed1337,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0002_seed2024,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0002_seed42,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0002_seed456,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0002_seed789,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0003_seed123,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0003_seed1337,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0003_seed2024,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0003_seed42,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0003_seed456,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0003_seed789,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0004_seed123,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0004_seed1337,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0004_seed2024,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0004_seed42,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0004_seed456,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0004_seed789,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0005_seed123,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0005_seed1337,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0005_seed2024,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0005_seed42,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0005_seed456,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0005_seed789,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0006_seed123,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0006_seed1337,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0006_seed2024,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0006_seed42,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0006_seed456,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0006_seed789,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0007_seed123,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0007_seed1337,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0007_seed2024,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0007_seed42,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0007_seed456,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0007_seed789,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0008_seed123,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0008_seed1337,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0008_seed2024,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0008_seed42,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0008_seed456,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0008_seed789,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0009_seed123,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0009_seed1337,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0009_seed2024,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0009_seed42,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0009_seed456,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0009_seed789,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0010_seed123,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0010_seed1337,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0010_seed2024,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0010_seed42,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0010_seed456,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0010_seed789,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0011_seed123,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0011_seed1337,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0011_seed2024,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,control_a,ctrl_a_c0011_seed42,
